******************** DIAGRAMAS DE ESFORCOS RESISTENTES ********************
PONTOS DO DIAGRAMA Nr Mrx

   PONTO          Nr               Mrx
    1      1.917728E+03      1.334319E+02
    2      1.916682E+03      2.676348E+02
    3      1.915592E+03      4.026087E+02
    4      1.914459E+03      5.383536E+02
    5      1.913283E+03      6.748694E+02
    6      1.912064E+03      8.121562E+02
    7      1.910801E+03      9.502140E+02
    8      1.909496E+03      1.089043E+03
    9      1.908147E+03      1.228643E+03
   10      1.906755E+03      1.369013E+03
   11      1.905320E+03      1.510155E+03
   12      1.903842E+03      1.652068E+03
   13      1.902321E+03      1.794751E+03
   14      1.899443E+03      1.909320E+03
   15      1.895302E+03      1.997822E+03
   16      1.891118E+03      2.087094E+03
   17      1.886891E+03      2.177138E+03
   18      1.882621E+03      2.267952E+03
   19      1.878308E+03      2.359538E+03
   20      1.873951E+03      2.451894E+03
   21      1.869551E+03      2.545022E+03
   22      1.865109E+03      2.638920E+03
   23      1.860622E+03      2.733590E+03
   24      1.856093E+03      2.829030E+03
   25      1.851521E+03      2.925241E+03
   26      1.846905E+03      3.022224E+03
   27      1.842246E+03      3.119977E+03
   28      1.837544E+03      3.218501E+03
   29      1.832799E+03      3.317796E+03
   30      1.828011E+03      3.417863E+03
   31      1.823179E+03      3.518700E+03
   32      1.818305E+03      3.620308E+03
   33      1.813387E+03      3.722687E+03
   34      1.808426E+03      3.825837E+03
   35      1.803422E+03      3.929758E+03
   36      1.798374E+03      4.034450E+03
   37      1.793284E+03      4.139913E+03
   38      1.788150E+03      4.246147E+03
   39      1.782973E+03      4.353152E+03
   40      1.777753E+03      4.460928E+03
   41      1.772490E+03      4.569475E+03
   42      1.767184E+03      4.678793E+03
   43      1.761834E+03      4.788882E+03
   44      1.756441E+03      4.899742E+03
   45      1.751005E+03      5.011373E+03
   46      1.745526E+03      5.123775E+03
   47      1.740004E+03      5.236947E+03
   48      1.734439E+03      5.350891E+03
   49      1.728830E+03      5.465606E+03
   50      1.723178E+03      5.581092E+03
   51      1.717483E+03      5.697348E+03
   52      1.711745E+03      5.814376E+03
   53      1.705964E+03      5.932175E+03
   54      1.700139E+03      6.050744E+03
   55      1.694272E+03      6.170085E+03
   56      1.688361E+03      6.290196E+03
   57      1.682407E+03      6.411079E+03
   58      1.676409E+03      6.532733E+03
   59      1.670369E+03      6.655157E+03
   60      1.664286E+03      6.778352E+03
   61      1.658159E+03      6.902319E+03
   62      1.651989E+03      7.027056E+03
   63      1.645776E+03      7.152565E+03
   64      1.639520E+03      7.278844E+03
   65      1.633220E+03      7.405894E+03
   66      1.626878E+03      7.533716E+03
   67      1.620492E+03      7.662308E+03
   68      1.614063E+03      7.791671E+03
   69      1.607591E+03      7.921806E+03
   70      1.601075E+03      8.052711E+03
   71      1.594517E+03      8.184387E+03
   72      1.587915E+03      8.316834E+03
   73      1.581271E+03      8.450052E+03
   74      1.574583E+03      8.584041E+03
   75      1.567851E+03      8.718801E+03
   76      1.561077E+03      8.854333E+03
   77      1.554260E+03      8.990635E+03
   78      1.547399E+03      9.127708E+03
   79      1.540495E+03      9.265552E+03
   80      1.533548E+03      9.404167E+03
   81      1.526558E+03      9.543552E+03
   82      1.519524E+03      9.683709E+03
   83      1.512448E+03      9.824637E+03
   84      1.505328E+03      9.966336E+03
   85      1.498165E+03      1.010881E+04
